wasNewSectionStarted_1855e0	wasNewSectionStarted	1855e0	6
getQuadCount_1869ec	getQuadCount	1869ec	6
startNewSection_1855d8	startNewSection	1855d8	8
getPrevId_1855f6	getPrevId	1855f6	8
emitTrail_18564c	emitTrail	18564c	12
render_1861b2	render	1861b2	12
_ParticleSystemMesh_1855c4	~ParticleSystemMesh	1855c4	16
incId_1855e6	incId	1855e6	16
emit_18618c	emit	18618c	70
finishCurrentTrailParticle_1855fe	finishCurrentTrailParticle	1855fe	76
render_1861be	render	1861be	78
setParticle_186820	setParticle	186820	80
reset_18620a	reset	18620a	94
updateUsualEdges_1865dc	updateUsualEdges	1865dc	208
setQuadEdge_18608c	setQuadEdge	18608c	246
ParticleSystemMesh_185490	ParticleSystemMesh	185490	286
init_186268	init	186268	298
updateTrailEdges_1866b4	updateTrailEdges	1866b4	354
updateSingle_186870	updateSingle	186870	362
updateSingleColor_1863a0	updateSingleColor	1863a0	560
setParticle_185d00	setParticle	185d00	892
